id,familia,acierto,cita,cifra,trayectoria,recall,coste_usd,latencia_s,llamadas,error
N1,numerica,True,True,True,True,,0.01991325,18.14744211200002,7,
N2,numerica,False,False,True,True,,0.00617775,5.537758980000035,4,
N3,numerica,True,True,True,True,,0.006825,6.935600797000006,4,
N4,numerica,True,True,True,True,,0.0142005,9.083179653999991,6,
N5,numerica,True,True,True,True,,0.00598275,5.375761531999956,4,
N6,numerica,False,False,True,True,,0.00618975,6.386944516999961,5,
N7,numerica,True,True,True,True,,0.006381,5.062346235000064,4,
E1,extractiva,True,True,,True,True,0.00982575,8.80630455000005,4,
E2,extractiva,True,True,,True,True,0.010587,7.884297085000071,4,
E3,extractiva,True,True,,True,True,0.0128985,7.730929153000034,4,
E4,extractiva,True,True,,True,True,0.01351575,10.318353953999917,4,
E5,extractiva,True,True,,True,True,0.004326,5.197567370000002,3,
E6,extractiva,True,True,,True,True,0.0056655,5.699396051000008,2,
E7,extractiva,True,True,,True,False,0.02088825,20.55645334899998,5,
C1,comparativa,True,True,True,True,True,0.0204975,13.355075071999977,7,
C2,comparativa,True,True,True,True,False,0.0161175,10.290463080999984,6,
C3,comparativa,True,True,True,True,False,0.0581835,18.254396788000008,9,
C4,comparativa,True,True,True,True,False,0.05916825,20.93976261399996,10,
C5,comparativa,True,True,True,True,True,0.01841025,13.358178803999976,7,
C6,comparativa,True,True,True,True,True,0.02465475,13.678221793000034,7,
