id,familia,acierto,cita,cifra,trayectoria,recall,coste_usd,latencia_s,llamadas,error
N1,numerica,True,,True,True,,0.00393675,7.992575564000049,3,
N2,numerica,True,,True,True,,0.00416025,3.063585145000161,3,
N3,numerica,True,,True,True,,0.0045405,4.061785796999857,3,
N4,numerica,True,,True,True,,0.00371625,3.3513363509998726,2,
N5,numerica,True,,True,True,,0.00452025,4.617829660000098,3,
N6,numerica,True,,True,True,,0.00296775,3.394925348000015,2,
N7,numerica,True,,True,True,,0.003474,3.2976475729999493,2,
E1,extractiva,True,True,,True,True,0.02247075,16.048063496000168,4,
E2,extractiva,True,True,,True,True,0.0083535,5.5037760279999475,3,
E3,extractiva,True,True,,True,True,0.00846525,9.681532681000135,3,
E4,extractiva,True,True,,True,True,0.00780375,6.316733427999907,3,
E5,extractiva,True,True,,True,True,0.00531375,8.627728023000145,3,
E6,extractiva,True,True,,True,True,0.00712725,6.640970352000068,3,
E7,extractiva,True,True,,True,False,0.01766475,10.891781710000032,4,
C1,comparativa,True,True,True,True,True,0.015171,10.816993936000017,6,
C2,comparativa,True,True,True,True,False,0.0175575,16.243067114999803,6,
C3,comparativa,True,True,True,True,False,0.05288325,20.858855354999832,9,
C4,comparativa,True,True,True,True,False,0.0267585,14.806625108000162,7,
C5,comparativa,True,True,True,True,True,0.0173205,11.486100854999904,8,
C6,comparativa,True,True,True,True,False,0.00940725,6.884599251000054,4,
