id,familia,ticker,acierto_oficial,cita,cifra,trayectoria,recall,coste_usd,latencia_s,llamadas,retrieval_hit_trayectoria,cita_trayectoria_ok,numerico_diagnostico_ok,trayectoria_diagnostica_ok,trayectoria_eficiente,n_tool_calls_operativas,model_calls,input_tokens,cache_read_tokens,output_tokens,total_tokens,coste_real_estimado_usd,guardrail_aplicable,guardrail_correction_attempted,guardrail_n_correcciones,guardrail_final_ok,error_ejecucion
N1,numerica,AAPL,True,,True,True,,0.006699,5.486174159000029,3,,,True,True,True,2,3,6287,0,529,6816,0.006699,True,False,0,True,
N2,numerica,AMZN,True,,True,True,,0.0050895,4.569541690000051,2,,,True,True,True,1,2,3976,0,562,4538,0.0050895,True,False,0,True,
N3,numerica,GOOGL,True,,True,True,,0.0072375,4.894512641999995,3,,,True,True,True,2,3,6400,0,650,7050,0.007237500000000001,True,False,0,True,
N4,numerica,META,True,,True,True,,0.0053595,3.249902395000049,2,,,True,True,True,1,2,3976,0,634,4610,0.0053595000000000005,True,False,0,True,
N5,numerica,MSFT,True,,True,True,,0.0065715,3.61171527099998,3,,,True,True,True,2,3,6347,0,483,6830,0.006571500000000001,True,False,0,True,
N6,numerica,NVDA,True,,True,True,,0.004824,4.044247132999999,2,,,True,True,True,1,2,3917,0,503,4420,0.004824,True,False,0,True,
N7,numerica,AAPL,True,,True,True,,0.0047595,3.631724261000045,2,,,True,True,True,1,2,3916,0,486,4402,0.0047595,True,False,0,True,
E1,extractiva,AAPL,True,True,,True,True,0.01559025,9.124357240999984,4,True,True,,True,False,3,4,14047,0,1348,15395,0.01559025,False,False,0,,
E2,extractiva,AMZN,True,True,,True,True,0.0164745,8.951491965999935,4,True,True,,True,False,3,4,13386,0,1716,15102,0.0164745,False,False,0,,
E3,extractiva,GOOGL,True,True,,True,True,0.0240675,11.349889357000052,5,True,True,,True,False,4,5,24815,0,1455,26270,0.0240675,False,False,0,,
E4,extractiva,META,True,True,,True,True,0.01141725,6.484143377999999,3,True,True,,True,True,2,3,8653,0,1314,9967,0.01141725,False,False,0,,
E5,extractiva,MSFT,True,True,,True,True,0.007353,6.335139982999976,3,True,True,,True,True,2,3,6764,0,608,7372,0.007353,False,False,0,,
E6,extractiva,NVDA,True,True,,True,True,0.00601125,4.108328089999986,2,True,True,,True,True,1,2,4665,0,670,5335,0.00601125,False,False,0,,
E7,extractiva,AAPL,True,True,,True,False,0.01861725,8.296326837000038,4,True,True,,True,False,3,4,15718,0,1821,17539,0.018617250000000002,False,False,0,,
C1,comparativa,AAPL,True,True,True,True,True,0.024312,15.236981489999948,6,True,True,True,True,True,5,6,22686,0,1946,24632,0.024312,True,False,0,True,
C2,comparativa,AMZN,True,True,True,True,False,0.017535,10.020390718000044,6,True,True,True,True,True,5,4,15535,0,1569,17104,0.017535000000000002,True,False,0,True,
C3,comparativa,GOOGL,False,False,False,True,False,0.08297475,20.08871745800002,11,True,False,False,True,True,11,10,102503,32527,1626,104129,0.061019025,False,False,0,,
C4,comparativa,META,True,True,True,True,False,0.04104525,15.148101838000002,8,True,True,True,False,False,6,7,41607,4040,2624,44231,0.038318250000000005,True,False,0,True,
C5,comparativa,MSFT,True,True,True,True,True,0.02321775,11.454306459000009,8,True,True,True,True,False,7,6,22587,0,1674,24261,0.023217750000000002,True,False,0,True,
C6,comparativa,NVDA,True,True,True,True,False,0.0170145,9.070565264000038,5,False,False,True,False,True,4,3,14036,0,1730,15766,0.017014500000000002,True,False,0,True,
